2026-05-25 08:42:46.427 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:42:48.428 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:42:50.429 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:42:52.430 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:42:54.431 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:42:56.433 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:42:58.435 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:00.436 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:02.438 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:04.439 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:06.440 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:08.442 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:10.443 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:12.444 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:14.445 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:16.446 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:18.448 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:20.449 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:22.451 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:24.452 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:26.453 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:28.455 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:30.456 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:32.457 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:34.459 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:36.460 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:38.462 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:40.464 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:42.465 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:44.466 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:46.468 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:48.470 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:50.471 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:52.472 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:54.474 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:56.475 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:43:58.477 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:00.478 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:02.479 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:04.481 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:06.482 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:08.484 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:10.486 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:12.487 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:14.488 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:16.489 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:18.491 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:20.492 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:22.494 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:24.496 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:26.497 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:28.499 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:30.500 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:32.501 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:34.503 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:36.504 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:38.505 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:40.506 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:42.507 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:44:44.508 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
